Rank,Name,Artist,Upload Date,Views
1.,"""Baby Shark Dance""[6]",Pinkfong Baby Shark - Kids' Songs & Stories,"June 17, 2016",[A]
2.,"""Despacito""[9]",Luis Fonsi,"January 12, 2017",[B]
3.,"""Johny Johny Yes Papa""[17]",LooLoo Kids - Nursery Rhymes and Children's Songs,"October 8, 2016",
4.,"""Bath Song""[18]",Cocomelon - Nursery Rhymes,"May 2, 2018",
5.,"""Shape of You""[19]",Ed Sheeran,"January 30, 2017",[C]
6.,"""See You Again""[22]",Wiz Khalifa,"April 6, 2015",[D]
7.,"""Wheels on the Bus""[27]",Cocomelon - Nursery Rhymes,"May 24, 2018",
8.,"""Phonics Song with Two Words""[28]",ChuChu TV Nursery Rhymes & Kids Songs,"March 6, 2014",
9.,"""Uptown Funk""[29]",Mark Ronson,"November 19, 2014",
10.,"""Learning Colors – Colorful Eggs on a Farm""[30]",Miroshka TV,"February 27, 2018",
11.,"""Gangnam Style""[31]",officialpsy,"July 15, 2012",[E]
12.,"""Masha and the Bear – Recipe for Disaster""[36]",Get Movies,"January 31, 2012",
13.,"""Dame Tu Cosita""[37]",Ultra Records,"April 5, 2018",
14.,"""Axel F""[38]",Crazy Frog,"June 16, 2009",
15.,"""Sugar""[39]",Maroon 5,"January 14, 2015",
16.,"""Counting Stars""[40]",OneRepublic,"May 31, 2013",
17.,"""Roar""[41]",Katy Perry,"September 5, 2013",
18.,"""Baa Baa Black Sheep""[42]",Cocomelon - Nursery Rhymes,"June 25, 2018",
19.,"""Waka Waka (This Time for Africa)""[43]",Shakira,"June 4, 2010",
20.,"""Sorry""[44]",Justin Bieber,"October 22, 2015",
21.,"""Lakdi Ki Kathi""[45]",Jingle Toons,"June 14, 2018",
22.,"""Thinking Out Loud""[46]",Ed Sheeran,"October 7, 2014",
23.,"""Dark Horse""[47]",Katy Perry,"February 20, 2014",
24.,"""Humpty the train on a fruits ride""[48]",Kiddiestv Hindi - Nursery Rhymes & Kids Songs,"January 26, 2018",
25.,"""Perfect""[49]",Ed Sheeran,"November 9, 2017",
26.,"""Let Her Go""[50]",Passenger,"July 25, 2012",
27.,"""Faded""[51]",Alan Walker,"December 3, 2015",
28.,"""Girls Like You""[52]",Maroon 5,"May 31, 2018",
29.,"""Shree Hanuman Chalisa""[53]",T-Series Bhakti Sagar,"May 10, 2011",
30.,"""Lean On""[54]",Major Lazer Official,"March 22, 2015",
